sequence,total,buy,short,hold
"[0, 2, 3, 4, 4]",22,22,0,0
"[0, 1, 2, 2, 3]",40,40,0,0
"[0, 1, 1, 2, 4]",44,44,0,0
"[0, 0, 1, 3, 4]",46,46,0,0
"[0, 1, 3, 4, 4]",34,34,0,0
"[5, 3, 2, 2, 0]",29,18,0,11
"[0, 1, 3, 3, 4]",32,32,0,0
"[0, 0, 1, 3, 3]",23,23,0,0
"[0, 1, 2, 2, 4]",39,39,0,0
"[0, 1, 2, 4, 4]",25,25,0,0
"[0, 1, 2, 3, 4]",89,89,0,0
"[0, 1, 4, 5, 5]",35,0,26,9
"[0, 2, 3, 5, 4]",34,5,21,8
"[0, 1, 2, 3, 3]",36,36,0,0
"[5, 3, 3, 1, 0]",35,23,0,12
"[5, 5, 2, 0, 0]",21,13,0,8
"[5, 4, 2, 0, 0]",46,32,0,14
"[0, 2, 3, 4, 5]",51,0,34,17
"[1, 0, 1, 3, 4]",26,26,0,0
"[0, 2, 3, 4, 5]",51,0,34,17
"[0, 2, 3, 5, 5]",34,0,21,13
"[5, 4, 2, 2, 0]",34,21,0,13
"[0, 0, 1, 2, 4]",43,43,0,0
"[5, 3, 2, 0, 0]",21,19,0,2
"[5, 4, 3, 2, 1]",50,0,50,0
"[4, 5, 4, 3, 1]",21,0,21,0
"[5, 4, 4, 2, 1]",24,0,24,0
"[0, 0, 0, 2, 3]",23,23,0,0
"[0, 0, 2, 3, 4]",32,32,0,0
"[0, 0, 0, 1, 3]",23,23,0,0
"[0, 2, 3, 5, 4]",34,5,21,8
"[1, 0, 1, 2, 3]",26,26,0,0
"[0, 0, 1, 2, 3]",41,41,0,0
"[0, 1, 1, 3, 4]",29,29,0,0
"[4, 5, 3, 1, 0]",27,18,0,9
"[0, 1, 3, 5, 5]",51,0,36,15
"[5, 5, 2, 0, 0]",21,13,0,8
"[5, 3, 2, 1, 1]",21,0,21,0
"[5, 5, 2, 0, 0]",21,13,0,8
"[5, 3, 2, 0, 0]",21,19,0,2
"[0, 2, 3, 5, 5]",34,0,21,13
"[0, 2, 3, 5, 4]",34,5,21,8
"[5, 4, 3, 3, 1]",32,0,32,0
"[5, 4, 2, 0, 0]",46,32,0,14
"[0, 1, 1, 1, 3]",26,26,0,0
